route_id,total_stops,planned_distance,actual_distance,deviation_count,sla_violation_count,route_start_time,route_end_time,distance_deviation,distance_efficiency_ratio,route_duration,sla_violation_rate,deviation_rate,driver_id,week_id,country,is_inefficient_route,has_sla_violation,high_deviation_route,positive_deviation_route,distance_efficiency_bucket,sla_risk_level,distance_loss_per_stop
107,16,22.370716029,23.28887344,12,6,115.342,668.114,0.9181574109999993,1.0410428262470346,552.772,0.375,0.75,96,0,1,0,1,1,0,slightly inefficient,high,0.057384838187499954
108,17,21.484691695,21.696194991,10,3,123.497,507.325,0.21150329600000006,1.009844371937123,383.828,0.17647058823529413,0.5882352941176471,97,0,1,0,1,1,0,slightly inefficient,low,0.01244137035294118
109,12,77.08701693,73.443774617,6,1,190.168,596.154,-3.643242313000002,0.9527385744306555,405.986,0.08333333333333333,0.5,98,0,1,0,1,0,1,efficient,low,-0.30360352608333346
110,18,45.989038719,49.426223525,15,2,138.967,576.535,3.4371848059999976,1.0747392183385636,437.568,0.1111111111111111,0.8333333333333334,99,0,1,0,1,1,0,slightly inefficient,low,0.19095471144444431
111,13,88.410428209,83.624974013,3,2,150.737,581.808,-4.785454196000003,0.9458722879987945,431.071,0.15384615384615385,0.23076923076923078,18,0,1,0,1,0,1,efficient,low,-0.3681118612307695
112,15,24.496777615,24.581405345,2,0,151.757,566.51,0.08462773000000112,1.0034546474369013,414.753,0.0,0.13333333333333333,21,0,1,0,0,0,0,slightly inefficient,none,0.005641848666666741
113,14,30.29614313707,30.42686467614,7,0,153.681,500.576,0.13072153906999873,1.004314791439906,346.895,0.0,0.5,15,0,1,0,0,0,0,slightly inefficient,none,0.009337252790714195
114,8,67.77717298799999,67.77717298799999,0,0,136.344,496.648,0.0,1.0,360.30400000000003,0.0,0.0,26,0,0,0,0,0,0,efficient,none,0.0
115,14,32.21885397,27.886835226,10,1,257.414,593.905,-4.332018743999999,0.8655439840276852,336.491,0.07142857142857142,0.7142857142857143,27,0,1,0,1,1,1,efficient,low,-0.3094299102857142
116,8,73.42474674,73.42474674,2,0,89.18,529.799,0.0,1.0,440.61899999999997,0.0,0.25,29,0,0,0,0,0,0,efficient,none,0.0
117,13,53.294490975,27.231856389999997,10,1,210.286,575.981,-26.062634585000005,0.510969443404089,365.695,0.07692307692307693,0.7692307692307693,100,0,1,0,1,1,1,efficient,low,-2.0048180450000004
